district_num,vpap_district,kaine_votes,stewart_votes,waters_votes,total_votes,kaine_percent,stewart_percent,waters_percent
1,CD01,160230,165796,6259,332732,0.481558732,0.49828691,0.018810935
2,CD02,146675,120046,5987,273012,0.537247447,0.43970961,0.021929439
3,CD03,182312,73861,3845,260526,0.699784283,0.283507212,0.014758604
4,CD04,189139,100868,4281,294567,0.642091612,0.342428038,0.014533196
5,CD05,149329,156674,5033,311385,0.479563884,0.503152047,0.016163271
6,CD06,115876,158413,5790,280348,0.413329148,0.565058427,0.020652903
7,CD07,180429,160967,6594,348382,0.517905632,0.462041667,0.018927499
8,CD08,254199,62645,7258,325234,0.781588026,0.192615163,0.02231624
9,CD09,85541,157292,3571,246623,0.34684924,0.637783175,0.01447959
10,CD10,218579,140499,7036,366749,0.595990718,0.383093069,0.019184783
11,CD11,223984,77069,6189,307811,0.727667302,0.250377667,0.020106494
